"","year","month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del","arr_cancelled","arr_diverted","arr_delay","carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay"
"6836",2015,6,"US","US Airways Inc.","KOA","Kona, HI: Kona International Airport at Keahole",30,7,0,0,484,446,0,38,0,0
"6665",2015,6,"OO","SkyWest Airlines Inc.","RDU","Raleigh/Durham, NC: Raleigh-Durham International",5,3,1,0,85,63,0,11,0,11
"10241",2015,10,"AA","American Airlines Inc.","PDX","Portland, OR: Portland International",361,55,1,0,2802,1084,198,608,0,912
"450",2015,1,"EV","ExpressJet Airlines Inc.","PWM","Portland, ME: Portland International Jetport",12,3,1,1,246,85,0,22,0,139
"8773",2015,8,"NK","Spirit Air Lines","BQN","Aguadilla, PR: Rafael Hernandez",18,5,0,0,139,56,0,77,0,6
"11118",2015,10,"UA","United Air Lines Inc.","SFO","San Francisco, CA: San Francisco International",4362,529,17,3,36294,13271,250,8607,0,14166
"1519",2015,2,"EV","ExpressJet Airlines Inc.","MLU","Monroe, LA: Monroe Regional",207,30,26,0,2099,1562,0,365,0,172
"8894",2015,8,"OO","SkyWest Airlines Inc.","EAU","Eau Claire, WI: Chippewa Valley Regional",62,20,2,0,1448,685,0,79,0,684
"4497",2015,4,"US","US Airways Inc.","PDX","Portland, OR: Portland International",149,30,0,0,1032,371,46,191,14,410
"2070",2015,2,"UA","United Air Lines Inc.","SJU","San Juan, PR: Luis Munoz Marin International",129,33,2,0,1202,696,46,271,0,189
"5358",2015,5,"NK","Spirit Air Lines","MCI","Kansas City, MO: Kansas City International",130,63,3,1,5061,1199,266,1176,0,2420
"13455",2015,12,"WN","Southwest Airlines Co.","CLE","Cleveland, OH: Cleveland-Hopkins International",417,86,13,0,3208,1214,0,160,0,1834
"10559",2015,10,"DL","Delta Air Lines Inc.","PVD","Providence, RI: Theodore Francis Green State",163,5,0,1,168,92,0,0,0,76
"7330",2015,7,"EV","ExpressJet Airlines Inc.","MGM","Montgomery, AL: Montgomery Regional",231,50,0,0,2852,1337,0,361,0,1154
"7063",2015,7,"AS","Alaska Airlines Inc.","LAX","Los Angeles, CA: Los Angeles International",808,173,2,2,10430,1829,125,7676,0,800
"5625",2015,5,"US","US Airways Inc.","SFO","San Francisco, CA: San Francisco International",483,128,0,1,6496,828,274,4092,61,1241
"12146",2015,11,"OO","SkyWest Airlines Inc.","FAT","Fresno, CA: Fresno Yosemite International",522,73,1,2,4151,1064,151,617,0,2319
"2479",2015,3,"B6","JetBlue Airways","LAS","Las Vegas, NV: McCarran International",337,81,3,3,4722,1313,336,1572,50,1451
"5602",2015,5,"UA","United Air Lines Inc.","PSP","Palm Springs, CA: Palm Springs International",16,3,0,0,63,20,15,28,0,0
"10407",2015,10,"B6","JetBlue Airways","DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International",57,8,0,0,325,221,0,95,0,9
